transition,transition,0.066667           0     0.16667     0.76667
bike,transition,0.96667           0           0    0.033333
bike,transition,0.76667           0     0.13333         0.1
bike,transition,0.76667           0     0.13333         0.1
bike,transition,0.63333           0         0.1     0.26667
bike,transition,0.63333           0         0.1     0.26667
bike,transition,0.73333           0         0.1     0.16667
transition,transition,0.084615           0     0.26667     0.64872
transition,transition,0.084615           0     0.23333     0.68205
transition,transition,0.084615           0         0.3     0.61538
swim,transition,0.20417           0       0.725    0.070833
swim,transition,0.2375           0     0.55833     0.20417
bike,transition,0.6    0.033333    0.033333     0.33333
transition,transition,0.033333           0     0.13333     0.83333
transition,transition,0.13333           0         0.3     0.56667
bike,transition,0.63333           0           0     0.36667
bike,transition,0.86667           0    0.066667    0.066667
bike,transition,0.86667           0    0.066667    0.066667
bike,transition,0.86667           0    0.033333         0.1
bike,transition,0.78462           0    0.033333     0.18205
bike,bike,0.71795           0    0.033333     0.24872
bike,bike,0.61795           0    0.066667     0.31538
bike,bike,0.66667           0    0.066667     0.26667
bike,bike,0.53333           0    0.033333     0.43333
transition,bike,0.066667           0     0.26667     0.66667
transition,bike,0.033333           0         0.3     0.66667
transition,bike,0.1           0     0.16667     0.73333
transition,bike,0.066667           0         0.2     0.73333
transition,bike,0.1           0         0.3         0.6
transition,bike,0.2           0     0.26667     0.53333
swim,bike,0.066667           0     0.53039     0.40294
swim,bike,0           0         0.5         0.5
transition,bike,0           0     0.46667     0.53333
transition,bike,0           0     0.46667     0.53333
transition,bike,0           0     0.26667     0.73333
transition,bike,0           0     0.26667     0.73333
swim,bike,0    0.033333     0.73333     0.23333
swim,bike,0    0.033333     0.73333     0.23333
swim,bike,0    0.033333     0.76667         0.2
swim,bike,0    0.033333     0.76667         0.2
swim,bike,0    0.033333     0.73333     0.23333
swim,bike,0    0.033333     0.73333     0.23333
swim,bike,0           0     0.76667     0.23333
run,bike,0     0.63333     0.16667         0.2
swim,bike,0    0.033333     0.73333     0.23333
swim,bike,0    0.066667         0.7     0.23333
swim,bike,0    0.033333         0.8     0.16667
swim,bike,0.066667    0.033333         0.7         0.2
swim,bike,0    0.033333     0.76667         0.2
swim,bike,0    0.033333     0.76667         0.2
swim,bike,0.1    0.033333     0.66667         0.2
swim,bike,0    0.033333     0.76667         0.2
transition,bike,0           0     0.43333     0.56667
bike,bike,0.63333           0     0.13333     0.23333
bike,bike,0.83333           0           0     0.16667
bike,bike,0.83333           0           0     0.16667
bike,bike,0.83333           0    0.033333     0.13333
bike,bike,0.83333           0    0.033333     0.13333
bike,bike,0.7           0         0.1         0.2
bike,bike,0.63333           0     0.16667         0.2
bike,bike,0.7           0         0.1         0.2
bike,bike,0.8           0    0.033333     0.16667
bike,bike,0.76667           0    0.033333         0.2
bike,bike,0.76667           0    0.033333         0.2
bike,bike,0.83333           0    0.033333     0.13333
bike,bike,0.83333           0    0.033333     0.13333
