15,6.0828,0.98827,2.2349,1.0839
16.5,7.7782,1.1765,2.1189,1.0957
25.5,24.749,0.34647,1.4522,0.72904
16.5,12.021,0.32861,1.464,0.72325
25.333,11.504,0.19748,1.4242,0.92539
9.8,3.5637,0.46184,1.6421,1.0542
11,4.3359,0.46682,1.5664,1.0227
10.667,5.6862,0.65743,1.5517,0.79703
60,0,0.17879,0.9854,0.5274
15.5,0.70711,0.42304,1.3251,0.75416
14.2,3.1937,0.33709,1.3435,0.90444
11.75,4.6458,0.23563,1.402,1.0012
16.5,15.067,0.84109,1.9776,1.3424
16.4,12.876,0.71674,1.9863,1.3803
12.8,5.2154,0.7528,1.9487,1.386
15.6,9.0443,0.29115,1.413,0.92433
11.333,8.8468,0.23489,1.3299,0.86379
8,3.9497,0.24072,1.3571,0.8088
12,5.933,0.34822,1.2836,0.77647
14.8,9.8843,0.27142,1.1168,0.66776
16.5,9.3274,0.19987,1.0025,0.61719
10.8,5.9749,0.12039,1.0416,0.63479
16,11.38,0.33313,1.0665,0.64564
21,11.79,0.40357,1.1733,0.69395
13,7.0711,0.36771,1.3078,0.68475
32,33.941,0.13684,1.0379,0.65753
18.5,2.1213,0.30064,1.0242,0.61045
15.75,4.717,0.3052,1.1811,0.80265
10.667,5.6862,0.061329,1.4132,0.9305
21,23.252,0.27916,1.6002,1.1346
11,9.5394,0.25203,1.697,1.1443
11,6.892,0.24124,1.7365,1.1996
13.667,6.9761,0.4223,1.4825,1.0501
11.714,5.219,0.45262,1.4911,1.0386
9.7143,2.43,0.44506,1.2972,0.86979
10.25,2.1213,0.42098,1.4063,0.95045
11.143,4.5981,0.50028,1.3613,0.88171
10.5,6.3509,0.5581,1.5241,0.86457
27,28.284,0.69964,1.243,0.7183
10.333,7.7675,0.14628,1.0771,0.64534
12,12.78,0.076102,1.1026,0.73618
12.667,10.25,0.30386,1.2236,0.82655
8.6667,4.9261,0.35517,1.151,0.79515
12.5,7.064,0.23102,0.97806,0.7394
15.2,5.5408,0.17104,0.87323,0.56069
14.75,5.5,0.25893,0.98207,0.76568
13.667,7.3937,0.52443,1.3779,0.8914
10.5,5.8907,0.36923,1.5463,1.0159
11.667,4.9261,0.24442,1.303,0.93949
10.375,3.5832,0.40253,1.3737,0.89794
7.4444,2.6034,0.48913,1.496,0.90528
7.4,2.9515,0.51734,1.4228,0.88362
8.8571,3.8048,0.56139,1.2359,0.70794
13,0,0.27709,0.82534,0.47036
0,0,0,1.6486,0.43729
0,0,0,1.6486,0.4442
0,0,0,1.6486,0.67113
10,3.9279,11.551,11.147,8.0948
11.714,4.6085,10.586,7.377,5.9503
10.571,4.0356,12.341,12.432,8.1141
9.375,4.2067,9.5389,6.6597,5.7845
10,4.9857,9.2291,7.9453,6.3887
