time,rmsAx,rmsAy,rmsAz,rmsGx,rmsGy,rmsGz,meanAx,meanAy,meanAz,meanGx,meanGy,meanGz,stddevAx,stddevAy,stddevAz,stddevGx,stddevGy,stddevGz,mediAx,mediAy,mediAz,mediGx,mediGy,mediGz,avgdisAx,stddisAx,avgampAx,stdampAx,avgdisAy,stddisAy,avgampAy,stdampAy,avgdisAz,stddisAz,avgampAz,stdampAz,avgdisGx,stddisGx,avgampGx,stdampGx,avgdisGy,stddisGy,avgampGy,stdampGy,avgdisGz,stddisGz,avgampGz,stdampGz
"['44062.1066', '44064.79065']",1.31068336,1.767979574,0.762073098,2.448760821,2.608781692,3.665289061,0.038962222,0.343433333,0.100535556,-0.878037778,-0.136608889,-0.269644444,1.3174437,1.744018602,0.759644512,2.298737146,2.619797559,3.675835485,0.3051,-0.4555,0.13,-0.75535,0.01145,-0.2685,5,2.449489743,0.986376471,1.699111865,9,2.645751311,3.403155556,1.660240808,8,3.605551275,0.630518182,0.824537312,4,1.414213562,0.757655556,1.926145866,4,1.414213562,0.532923529,2.901225478,7,6.244997998,2.81606,3.380022282
"['44063.01132', '44065.6954']",1.248258288,1.764751254,0.726946546,2.451572717,2.418034855,3.62156541,0.02969,0.366298889,0.119888889,-0.757906667,-0.160098889,-0.392005556,1.254896267,1.735988823,0.721009078,2.344538872,2.426245727,3.620456998,0.31715,-0.33225,0.13,-0.52325,-0.4605,-0.38565,5,1.414213562,1.0502875,1.463723805,9,3,2.91828,2.098441306,9,3.31662479,0.74028,0.768135765,5,1.414213562,1.10558125,1.663839984,4,1.414213562,0.624583333,2.565421449,9,5.196152423,2.38867,3.909067198
"['44063.91607', '44066.60014']",1.222908515,1.787086363,0.696784114,2.775243388,2.512531848,3.729424314,0.041941111,0.404762222,0.137466667,-0.79457,-0.20407,-0.419952222,1.229036144,1.750396646,0.686916179,2.673963296,2.518260178,3.726464912,0.35025,-0.2575,0.196,-0.5893,-0.1979,-0.4701,5,1.732050808,0.833875,1.499948923,9,2.449489743,3.325344444,1.761683055,7,3.464101615,0.6552,0.743816512,5,1.732050808,1.607666667,1.652122943,5,2,0.758029412,2.456822154,8,4.472135955,2.2828,4.496802041
"['44064.82083', '44067.50491']",1.269687892,1.76512022,0.791828716,2.851739675,2.670331146,3.677508698,0.037687778,0.407523333,0.178405556,-0.847491111,0.031163333,-0.482092222,1.27623845,1.727053968,0.77579083,2.738153275,2.685108235,3.666197182,0.346,-0.29725,0.17605,-0.6561,0.08245,-0.69905,5,1.732050808,0.878625,1.620064575,8,2.828427125,2.9347,2.020306635,5,2,0.675128571,0.994451197,5,2,1.385413333,2.076387753,5,1.732050808,1.65898125,3.084309729,8,3.31662479,1.536322222,4.290378331
"['44065.72555', '44068.40966']",1.304708694,1.736585421,0.819924395,2.699736541,2.792281015,3.675383434,0.031932222,0.381404444,0.145776667,-0.842194444,-0.169018889,-0.479702222,1.311625032,1.703675345,0.811381579,2.5793818,2.802775369,3.66435859,0.1618,-0.32635,0.196,-0.728,0.0358,-0.67965,5,2,1.00411875,1.751300807,9,2.449489743,3.202444444,1.46730529,5,2,0.56553125,0.964053919,6,2.236067977,1.423985714,1.981414104,5,2,1.8202875,3.03181984,8,4.472135955,2.03359,4.634625117
"['44066.63033', '44069.31441']",1.350046812,1.842592953,0.802731123,2.59678558,2.597922357,3.686749513,0.047623333,0.403167778,0.1696,-0.835691111,0.029754444,-0.457816667,1.356765226,1.808017127,0.789005765,2.472415038,2.612305306,3.678707835,0.3228,-0.38345,0.196,-0.7376,0.6493,-0.68325,5,1.732050808,0.953882353,1.779492916,8,3.16227766,2.820972727,2.464244514,5,2.449489743,0.564633333,0.975030655,6,2.449489743,1.020553333,1.856588673,5,2.236067977,1.744805882,2.892726552,7,4.472135955,2.098818182,4.14263422
"['44067.53506', '44070.21915']",1.360665441,1.877964132,0.685207282,2.406137521,2.522528455,3.788629652,0.067472222,0.381751111,0.15653,-0.807815556,-0.082377778,-0.281341111,1.366604974,1.849054977,0.670825954,2.279177513,2.535307383,3.799335488,0.3762,-0.42175,0.1985,-0.86765,0.612,-0.37605,5,1.414213562,0.89760625,1.537498353,8,3.16227766,2.864918182,2.658272298,6,2.236067977,0.493269231,0.821584546,5,2,0.73391875,1.735029284,5,2.236067977,1.31340625,2.602651898,7,4.472135955,1.393363636,4.462617754
"['44068.43981', '44071.12391']",1.493238814,1.922647946,0.739552954,2.499278426,2.577197808,3.922534268,0.023013333,0.397545556,0.196571111,-0.835356667,0.098674444,-0.241317778,1.501426022,1.89163724,0.71694462,2.368737088,2.589735726,3.937037718,0.29805,-0.49835,0.2377,-0.86765,0.7393,-0.32885,5,1.414213562,1.101741176,1.817315474,7,3,2.760741667,2.87999977,6,2.645751311,0.583407143,0.783101565,4,2.236067977,0.504610526,1.879759477,5,2.236067977,1.351241176,2.705066502,7,5.099019514,2.2571,4.07954311
"['44069.34456', '44072.02868']",1.531407005,1.911058512,0.862056359,2.64222754,2.698189482,3.979927257,0.120942222,0.427054444,0.22044,-0.805472222,0.244177778,-0.362312222,1.535176437,1.873167186,0.838064004,2.530559912,2.702172103,3.985605524,0.49945,-0.4793,0.27385,-0.81975,0.94705,-0.15875,5,1.414213562,1.34299375,1.902597025,7,2.645751311,3.151654545,2.711395356,7,3,0.816566667,0.820290976,4,2.236067977,0.691033333,2.289788603,5,3,2.06224,2.793331331,7,5.385164807,2.326381818,4.03515673
"['44070.2493', '44072.93347']",1.742594541,2.099658754,0.998073584,3.435339244,2.838806953,4.142218767,0.210075556,0.531051111,0.226193333,-0.855765556,0.282676667,-0.113486667,1.739576855,2.042771976,0.977550659,3.345682936,2.840522767,4.163861025,0.4781,-0.3586,0.2985,-0.6112,0.75415,-0.0352,5,1.414213562,1.5812625,2.179668092,6,2.449489743,2.641064286,3.027013442,6,3,1.077523077,0.879135154,4,2,1.239615,3.20385411,5,2.828427125,2.491776471,3.115145917,7,5.099019514,2.3057,4.142599014
