run,transition,-0.25795    -0.10905     -1.1143    -0.35289
bike,transition,-0.023431    -0.67105    -0.24381     -0.2775
bike,transition,-0.025563    -0.70313    -0.43715     -0.1411
bike,transition,-0.066979    -0.24286    -0.98209    -0.22468
bike,transition,-0.17766    -0.20203     -1.3296    -0.18262
transition,transition,-0.14244    -0.47334     -1.0783   -0.024231
transition,transition,-0.18573    -0.65896    -0.53762           0
bike,transition,-0.075019    -0.86261     -0.1243    -0.45176
swim,transition,-0.16196    -0.91283  -0.0047032    -0.98093
swim,transition,-0.30309    -0.76358   -0.012519     -0.2163
transition,transition,-0.26503    -0.80758    -0.26405    -0.02099
swim,transition,-0.33143    -0.77448    -0.02109     -0.1763
swim,transition,-0.31622    -0.77378   -0.027089    -0.17443
transition,transition,-0.11788    -0.80806    -0.44114   -0.048786
transition,transition,-0.83795    -0.66058    -0.98928           0
transition,transition,-0.60384    -0.70328    -0.48128           0
transition,transition,-0.55373     -0.7123    -0.38196           0
bike,transition,0     -0.6337    -0.85114    -0.28238
bike,transition,0     -0.7323    -0.62095    -0.33402
bike,transition,0    -0.74026     -0.6598    -0.33056
bike,bike,0      -1.561    -0.22572     -2.2695
bike,bike,0     -1.1785    -0.18735      -2.186
bike,bike,0     -0.8431    -0.19416     -1.2395
swim,bike,-0.091694    -0.75823   -0.074973    -0.52465
transition,bike,-0.26095    -0.55687    -0.63713   -0.074217
transition,bike,-0.34194    -0.50533     -0.4772   -0.013252
transition,bike,-0.83771    -0.43601     -0.6623           0
transition,bike,-0.74166    -0.53085     -0.4052           0
transition,bike,-0.57637    -0.48241    -0.42609           0
bike,bike,0    -0.60603    -0.68864    -0.26662
transition,bike,-0.31358    -0.46175    -0.71687   -0.065135
transition,bike,-0.66438     -0.4309    -0.55933           0
transition,bike,-0.59073     -0.4215    -0.57015           0
transition,bike,-0.62829    -0.42606    -0.55282           0
transition,bike,-0.52998    -0.55049    -0.44962           0
transition,bike,-0.37671    -0.50637    -0.45165           0
transition,bike,-0.51019    -0.52908    -0.44707           0
transition,bike,-0.52834     -0.3904     -1.0319   -0.046604
bike,bike,0      -0.618    -0.48912    -0.18062
transition,bike,-0.35782    -0.42932    -0.85223   -0.080044
bike,bike,-0.042097    -0.58207     -0.6103    -0.13233
transition,bike,-0.29997    -0.42296    -0.88767   -0.085617
transition,bike,-0.91397    -0.55838    -0.76565           0
bike,bike,-0.18734     -0.2554    -0.59024    -0.19394
bike,bike,-0.20107    -0.24695     -1.1936    -0.20349
transition,bike,-0.84876    -0.29462    -0.64249   -0.029186
