time,rmsAx,rmsAy,rmsAz,rmsGx,rmsGy,rmsGz,meanAx,meanAy,meanAz,meanGx,meanGy,meanGz,stddevAx,stddevAy,stddevAz,stddevGx,stddevGy,stddevGz,mediAx,mediAy,mediAz,mediGx,mediGy,mediGz,avgdisAx,stddisAx,avgampAx,stdampAx,avgdisAy,stddisAy,avgampAy,stdampAy,avgdisAz,stddisAz,avgampAz,stdampAz,avgdisGx,stddisGx,avgampGx,stdampGx,avgdisGy,stddisGy,avgampGy,stdampGy,avgdisGz,stddisGz,avgampGz,stdampGz,skewAx,skewAy,skewAz,skewGx,skewGy,skewGz,kurtAx,kurtAy,kurtAz,kurtGx,kurtGy,kurtGz
"['45931.02843', '45933.71237']",0.545473811,0.375900223,0.458333204,0.993876381,0.369846574,0.5210072,-0.018126667,-0.011307778,-0.036227778,-0.108027778,0.019982222,-0.070155556,0.548226756,0.377835052,0.459458874,0.993522976,0.371375335,0.519154489,-0.008,-0.02865,0.0358,-0.09135,0.01945,-0.0885,3,0,0.5642625,0.414098319,3,1,0.390686364,0.306028784,4,0,0.39991,0.251747373,3,0,0.923182609,0.719369738,5,1.414213562,0.422905882,0.391231639,4,1,0.367727273,0.507379375,0.295778946,0.429778017,-0.679097621,0.059717081,0.360422775,0.456487211,0.869954514,2.334853526,0.366752866,-0.181462088,1.079304051,0.381833166
"['45931.93312', '45934.61706']",0.671754604,0.534151412,0.576512555,1.210626985,0.42462227,0.641419496,0.012005556,-0.067515556,-0.011455556,-0.07843,-0.008528889,-0.058505556,0.675410074,0.532835791,0.57962788,1.214851814,0.426914981,0.642324136,0.03325,-0.0487,0.023,-0.0118,0.0414,-0.07985,3,1,0.647259091,0.571154144,4,1,0.451319048,0.378209438,3,0,0.45723913,0.490123391,4,1,1.065722727,0.765994159,5,1.414213562,0.380983333,0.331114344,4,1,0.540431579,0.632135648,0.192315556,-1.055081194,0.072682727,-0.292805835,-0.339321856,0.474191028,0.632754685,6.034803019,1.438928746,0.249329485,0.107920102,1.445793589
"['45932.83782', '45935.52176']",0.630376161,0.479381485,0.535838207,1.102763929,0.406361216,0.651081609,0.009465556,-0.068556667,-0.010318889,-0.00107,-0.010615556,0.029862222,0.63383624,0.477112019,0.538740202,1.108941404,0.408498309,0.654040131,0.0058,-0.02635,0.02855,0.0247,0.0501,-0.04415,4,1,0.640642857,0.582800605,4,1.414213562,0.378605,0.305442279,3,0,0.405325,0.498886144,4,1,1.100442857,0.723885741,4,1.414213562,0.400657895,0.266205439,4,1.414213562,0.609468421,0.697152984,0.348623821,-1.768879667,0.183862385,-0.485498019,-0.349163596,0.485685802,1.305862386,9.309333489,2.713291092,1.471367039,0.337594379,1.73878904
"['45933.74253', '45936.42646']",0.560499123,0.456822955,0.492215063,0.961612526,0.387828741,0.603870988,0.011808889,-0.053908889,0.010461111,0.061784444,0.017571111,0.013242222,0.56351409,0.456172325,0.494860791,0.965001717,0.38960099,0.607108021,0.0052,0.0059,-0.0044,0.1212,0.0474,-0.03575,4,1,0.545009524,0.512850766,4,1.414213562,0.347989474,0.296080756,3,1,0.383054167,0.501826986,4,1,0.925536842,0.704976197,4,1,0.376495238,0.258439276,4,1,0.49518,0.665621061,0.28962878,-2.203493112,0.468009842,-0.790171568,-0.529666508,0.545679633,1.882957498,11.77624061,3.894720008,3.616181216,0.995449258,2.876215691
"['45934.64721', '45937.33117']",0.281503909,0.235650507,0.308535509,0.576967872,0.247441191,0.38017844,-0.002312222,-0.001118889,-0.039463333,0.015413333,0.032195556,0.028873333,0.283071425,0.236968017,0.307715623,0.579993141,0.246712156,0.381204152,0.00615,-0.0192,-0.0004,0.017,0.05095,0.01885,4,1,0.288405,0.185988099,4,1.414213562,0.297705263,0.1354896,4,1,0.210071429,0.16570746,4,1.414213562,0.535438889,0.446161362,4,1,0.245352632,0.166304929,4,1.414213562,0.252116667,0.304953744,-0.002307394,-0.028219302,-0.067276769,0.551864906,-0.391200706,1.805834124,0.042659105,0.229836885,1.069893509,2.716714773,0.467984783,6.545106448
"['45935.55191', '45938.23586']",0.260090677,0.231127317,0.263398271,0.554795455,0.2037419,0.251660182,0.02516,-0.046752222,-0.029285556,0.039301111,0.048798889,-0.016663333,0.260321153,0.227617508,0.263231655,0.556501994,0.198919799,0.252514684,0.0321,-0.0489,0.00715,0.08705,0.0424,0.0253,4,1,0.296647619,0.173682727,4,1.732050808,0.194075,0.162337899,4,1,0.217919048,0.126350004,4,1.732050808,0.543852632,0.460227342,4,1,0.197836842,0.129665344,4,1.414213562,0.195626316,0.227607601,-0.099694026,-0.308917861,-0.932309775,0.2490351,-0.246897519,0.061261336,0.27215764,0.720232886,0.735348534,-0.030768362,0.25621543,-0.141023744
"['45936.45662', '45939.14057']",0.410714947,0.257866648,0.254589887,0.543091126,0.227990895,0.242135843,0.056106667,-0.095395556,-0.007876667,0.061882222,0.034152222,0.047773333,0.40914398,0.240914472,0.255893613,0.542576775,0.2266813,0.238706081,0.0436,-0.08635,0.02375,0.06155,0.03165,0.0449,4,1,0.443952381,0.383590074,4,1,0.15413,0.148927174,4,0,0.243357143,0.172665904,4,1.732050808,0.544336842,0.466116092,4,1,0.2052,0.242089075,5,1.414213562,0.294688889,0.217540495,-0.201176617,-0.067765071,-0.671919179,0.312903495,0.796447102,0.268952676,10.64631618,0.65041645,2.104030753,0.157362862,3.824543867,0.931608595
"['45937.36132', '45940.04527']",0.432192858,0.313470725,0.231287528,0.555693509,0.234772186,0.263342746,0.079695556,-0.124395556,0.070411111,0.151654444,0.028476667,0.061214444,0.427161203,0.289343847,0.221543554,0.537594083,0.234344299,0.257564161,0.06235,-0.1197,0.0624,0.11415,0.03165,0.05295,4,1,0.492461905,0.386764315,4,1.732050808,0.155273684,0.223988414,4,0,0.315390476,0.215058199,4,1.414213562,0.634642105,0.441180685,4,1,0.224247619,0.231516936,4,1,0.32838,0.227441223,-0.281476126,-0.569250839,0.62572664,0.138327312,0.476601353,0.237122633,8.823418698,2.796025799,2.367502008,0.182515054,4.009226128,0.719428739
"['45938.26601', '45940.94997']",0.417691586,0.300860598,0.241566641,0.465179594,0.555005802,0.298038207,0.10315,-0.124778889,0.053818889,0.043728889,-0.025405556,0.090346667,0.407022215,0.275298807,0.236814468,0.465714209,0.557530065,0.28560566,0.1004,-0.1292,0.0789,-0.008,0.03215,0.10725,4,1,0.45267,0.413877578,4,1.732050808,0.160377778,0.215382971,4,0,0.279077273,0.223646077,4,1.414213562,0.467184211,0.405987879,4,1.414213562,0.308941176,0.29212173,4,1.414213562,0.343157895,0.269772693,-0.43473516,-0.546901305,0.277273588,0.136484744,-1.889801719,-0.043186171,11.17631512,3.649768854,1.886166669,0.888207867,5.47655561,0.032769561
"['45939.17072', '45941.85467']",0.289980666,0.339787144,0.317062735,1.37759864,1.265062092,0.835040998,0.112055556,-0.042408889,0.025933333,0.305004444,-0.387056667,-0.3161,0.268953663,0.339018926,0.317770704,1.350936118,1.211143164,0.777229908,0.12755,-0.05085,0.0916,0.0182,0.0415,-0.0738,4,1,0.311825,0.273476894,4,1.732050808,0.240541176,0.291240798,4,1,0.246015,0.199848198,4,1.732050808,0.963627778,2.058306008,6,3.464101615,0.1557,0.984477106,5,2.645751311,0.13630625,0.533131995,-0.220341461,-0.010071082,-2.09269246,3.954586701,-1.460393565,-1.381273196,0.913353792,2.308024061,7.537866201,20.26283438,1.450481538,1.39502747
