time,rmsAx,rmsAy,rmsAz,rmsGx,rmsGy,rmsGz,meanAx,meanAy,meanAz,meanGx,meanGy,meanGz,stddevAx,stddevAy,stddevAz,stddevGx,stddevGy,stddevGz,mediAx,mediAy,mediAz,mediGx,mediGy,mediGz,avgdisAx,stddisAx,avgampAx,stdampAx,avgdisAy,stddisAy,avgampAy,stdampAy,avgdisAz,stddisAz,avgampAz,stdampAz,avgdisGx,stddisGx,avgampGx,stdampGx,avgdisGy,stddisGy,avgampGy,stdampGy,avgdisGz,stddisGz,avgampGz,stdampGz,skewAx,skewAy,skewAz,skewGx,skewGy,skewGz,kurtAx,kurtAy,kurtAz,kurtGx,kurtGy,kurtGz
"['44021.39339', '44024.07741']",1.767228646,1.976654511,0.862885868,2.460140963,3.116434189,4.678172284,0.32482,0.533365556,0.350598889,-1.118484444,0.36342,-0.208332222,1.746852756,1.913998055,0.792866508,2.203459357,3.11251175,4.699713623,0.72595,-0.4386,0.36985,-0.86695,1.2829,-0.13045,5,1,1.64946875,2.313846122,5,2,2.072271429,2.687920043,7,1.732050808,0.903433333,0.73632358,6,2.645751311,0.788242857,1.929821717,5,1.732050808,2.023155556,3.165864119,7,5.656854249,2.304090909,4.213119421,0.145541848,1.036288053,-0.143294345,-0.281043287,-0.373991017,0.031420241,0.376053418,-0.389340091,-0.164929849,-0.698843303,-1.111471453,-0.737073956
"['44022.29812', '44024.98215']",1.931687025,2.003365123,0.958234872,2.8546487,3.450920407,4.449688721,0.309017778,0.508548889,0.419344444,-1.006162222,0.050054444,-0.533276667,1.917492071,1.948599284,0.866432617,2.686418422,3.469888382,4.442366403,0.7065,-0.46365,0.4581,-0.5427,1.02275,-0.93475,5,1,1.784670588,2.650767658,5,2,1.88245,2.734378355,6,2,0.983023077,0.929676701,5,2.645751311,0.867625,1.708679379,4,1,1.70135,4.006049859,7,5.291502622,1.695125,4.719644232,0.669348671,1.114889647,-0.053492176,-1.76440682,-0.062189819,0.248088309,1.507715668,-0.151842958,1.406113861,5.08281782,-0.86481776,-0.586239829
"['44023.20285', '44025.88691']",1.899055482,2.010750349,1.062287116,2.93885918,3.477872476,4.498857033,0.445368889,0.494031111,0.417752222,-1.007771111,0.254536667,-0.436372222,1.856435043,1.960034741,0.982168718,2.776134569,3.487977303,4.502728823,0.84195,-0.46365,0.49135,-0.3193,0.9575,-0.93555,5,1.414213562,2.16434375,2.585937511,6,2.449489743,2.368285714,2.781995642,5,2.236067977,1.037407143,0.929154461,5,2.236067977,1.303914286,1.104054854,4,1,1.992577778,3.939101068,7,5.099019514,1.621608333,5.425416586,0.980062495,1.201197315,-0.233807361,-1.735807876,-0.145702403,0.352908913,1.72667554,0.086805284,0.674919625,4.362570205,-0.812203641,-0.60799359
"['44024.10756', '44026.79164']",2.028736173,2.156211794,1.122738878,3.193180258,3.424894044,4.630982907,0.555711111,0.657315556,0.379311111,-1.17974,0.25026,-0.377537778,1.962072986,2.065083453,1.062644096,2.983880349,3.434874388,4.641425721,0.881,-0.24615,0.3649,-0.43345,0.64635,-0.75575,5,2.645751311,2.440553333,2.50645156,6,2.645751311,2.880864286,2.72766296,6,3.16227766,1.159753846,0.974102769,5,2,0.693358824,1.695246589,4,1.414213562,1.874483333,3.926529995,7,4.358898944,1.841416667,5.198424389,0.832356764,1.009349605,-0.058356874,-1.555313389,-0.06338713,0.193205166,0.996601708,-0.28490026,0.138937883,3.081611119,-0.739336298,-0.595380925
"['44025.01234', '44027.69637']",1.853765342,2.102252656,1.083301142,2.870134895,3.114788562,4.628766145,0.345285556,0.539748889,0.380162222,-1.174346667,0.276603333,-0.579412222,1.831528325,2.043164441,1.020088256,2.63356165,3.119863606,4.6180863,0.81955,-0.3566,0.3862,-0.62115,0.93945,-0.80305,5,2.645751311,2.388128571,2.088851097,6,2.449489743,2.846061538,2.955896622,9,2.828427125,1.26507,0.85314589,5,1.732050808,0.301470588,2.174349311,4,1.414213562,1.983670588,3.248696972,6,3,2.340272727,5.292196016,0.457912752,1.241580564,-0.070409429,-1.05208206,-0.249903418,0.222058802,-0.055975451,0.65028806,-0.243702352,0.923804909,-1.128705639,-0.484163603
"['44025.91706', '44028.60109']",1.81335471,2.16299428,1.06306418,2.758631983,2.992689465,4.505720034,0.420115556,0.52349,0.400584444,-1.12676,0.35931,-0.37443,1.773900167,2.11044812,0.990218338,2.532134173,2.987685945,4.515290337,0.79635,-0.36495,0.39445,-0.79615,0.93945,-0.41165,5,3,2.14884375,1.99552761,6,2.645751311,2.986946154,3.087181916,9,3.16227766,1.34939,0.81554786,4,1,0.178533333,2.215460335,5,2,2.116875,3.238648252,6,3.464101615,1.7821,5.125418351,0.301909187,1.280500913,0.016743986,-1.108537101,-0.188800795,0.178327263,-0.288573642,0.696189153,-0.430351711,1.376635148,-1.002165883,-0.447278191
"['44026.8218', '44029.50583']",1.608278929,2.034888445,1.029647827,2.708267202,2.973655387,4.205744072,0.212452222,0.519493333,0.24071,-0.962282222,-0.127827778,-0.56446,1.603115874,1.978481966,1.006724586,2.545728246,2.987550531,4.191041984,0.3586,-0.22735,0.3534,-0.88085,-0.20475,-0.2811,5,2,1.58218125,1.886715131,6,2,2.719692857,3.117076247,8,3.464101615,1.19183,0.695018499,4,1.414213562,0.484577778,2.733403429,5,2,1.967482353,3.108492785,5,2.828427125,0.73995625,4.732137283,0.202160875,1.497662452,-0.375881688,-0.489392103,0.09041248,0.056953009,-0.562693782,1.596066877,0.288517295,0.827165688,-1.088510299,-0.602055455
"['44027.72652', '44030.41055']",1.59159411,2.159471862,1.194988488,3.855633327,3.354361735,4.229400158,0.267022222,0.653655556,0.226541111,-0.880536667,0.18657,-0.827026667,1.577825217,2.069697862,1.179891897,3.774769459,3.367932192,4.170989608,0.3791,-0.0706,0.41415,-0.76415,-0.20475,-0.37875,5,1.732050808,1.507788235,1.949807043,5,1.732050808,2.604213333,3.065216007,9,3,1.538033333,0.743576282,4,1.414213562,1.613284211,2.985256049,5,2,2.743776471,3.776372031,4,2,0.901976471,4.097929204,0.200818855,1.412251264,-0.558898674,-1.688176899,0.687069161,-0.130653816,-0.543069324,1.216506302,0.539204002,7.291792314,-0.074661805,-0.597899392
"['44028.63124', '44031.31531']",1.58340533,2.078186228,1.301137349,4.175244176,3.796443522,4.19773325,0.323896667,0.564937778,0.331992222,-1.247773333,0.189815556,-0.390377778,1.558606786,2.011129979,1.265117842,4.006757365,3.812937486,4.202956779,0.69585,-0.21445,0.58795,-1.13395,0.00945,-0.3431,5,1.732050808,1.63949375,1.883654161,5,1.414213562,2.628125,3.13469449,9,2,1.46446,0.947959962,4,1,1.540016667,3.170903282,5,2,2.605207143,4.680645775,4,2,1.242473333,3.733279807,0.076485603,1.634185714,-0.576526045,-1.387650898,0.419328029,-0.213725063,-0.585532596,1.924241199,0.29255106,4.970350256,-0.56675518,-0.523173973
"['44029.53601', '44032.22002']",1.671173157,2.133646947,1.314604241,4.254952051,3.968362942,4.080416648,0.270833333,0.6144,0.40793,-1.181993333,0.120938889,-0.580167778,1.65831989,2.054719353,1.256712173,4.110381191,3.988741234,4.061588336,0.66165,-0.18115,0.60575,-0.36095,0.2912,-0.4052,5,1.414213562,1.634952941,2.12247757,5,1.732050808,2.565670588,3.220222743,9,2,1.56147,0.978956917,4,1,1.490127778,2.615851754,5,2,2.53588,4.811053397,5,3.464101615,2.0818375,3.173406731,0.317407478,1.700082869,-0.557647725,-1.561045205,0.344382016,-0.222022054,-0.303836225,2.101742098,0.397310394,4.618463166,-0.74766244,-0.29118528
