time,rmsAx,rmsAy,rmsAz,rmsGx,rmsGy,rmsGz,meanAx,meanAy,meanAz,meanGx,meanGy,meanGz,stddevAx,stddevAy,stddevAz,stddevGx,stddevGy,stddevGz,mediAx,mediAy,mediAz,mediGx,mediGy,mediGz,avgdisAx,stddisAx,avgampAx,stdampAx,avgdisAy,stddisAy,avgampAy,stdampAy,avgdisAz,stddisAz,avgampAz,stdampAz,avgdisGx,stddisGx,avgampGx,stdampGx,avgdisGy,stddisGy,avgampGy,stdampGy,avgdisGz,stddisGz,avgampGz,stdampGz,skewAx,skewAy,skewAz,skewGx,skewGy,skewGz,kurtAx,kurtAy,kurtAz,kurtGx,kurtGy,kurtGz
"['339051.206218', '339053.890900']",0.792622787,0.819435504,0.416080625,5.618578814,4.000562311,3.676981609,0.644082222,0.429796667,0.063376667,-1.643271111,-0.613534444,-0.274233333,0.464550134,0.701582828,0.413529392,5.403003654,3.97538308,3.687283164,0.6402,0.2726,0.0983,-1.5071,0.08095,0.7216,5,2.645751311,0.930193333,0.473404185,4,1.732050808,0.75384,0.780123429,4,1,0.327466667,0.364882087,5,2.645751311,1.721114286,5.079213006,6,2.828427125,1.349033333,2.905370573,7,4.898979486,1.202718182,2.924715296,0.31527702,1.239294987,-0.269101701,-0.017734802,-0.870979939,-0.844550463,0.137994574,1.092295243,-0.30006995,0.86864685,-0.108364397,0.029184756
"['339052.111185', '339054.795878']",0.773286429,0.635142534,0.361653763,4.626391033,3.629164087,3.377188341,0.633498889,0.233995556,0.098877778,-1.140116667,-0.540538889,-0.470594444,0.445937912,0.593775679,0.349823336,4.508825949,3.608788385,3.362975502,0.59235,0.06105,0.1478,-0.7594,-0.0371,0.8369,5,2.236067977,0.856893333,0.455391021,3,1,0.414968182,0.568170732,4,0,0.309633333,0.327830631,5,2.449489743,1.30265625,3.925417472,7,3.605551275,0.914390909,2.431665894,6,4.123105626,0.856784615,2.346019574,0.492392333,1.555222888,-0.369075663,-0.309604699,-1.221761895,-1.062207954,0.063904894,2.667500003,0.658897819,1.587774314,1.000110509,0.709226792
"['339053.016127', '339055.700821']",0.798661184,0.825149312,0.458889141,5.777931015,3.767719283,3.701110355,0.646972222,0.443745556,0.083607778,-1.50614,-0.819444444,-0.521025556,0.470903944,0.699570608,0.453736157,5.609424874,3.698131545,3.684781213,0.6621,0.25135,0.1356,-1.11375,-0.1829,0.4308,5,2.236067977,0.96148125,0.495009536,4,1.414213562,0.644647619,0.781521357,4,1,0.332690476,0.440922661,6,3.16227766,2.1408,5.441085699,7,3.31662479,0.732807692,3.042142617,6,3.741657387,1.614054545,3.130317373,0.29259188,1.248411579,0.066768646,0.181643797,-0.831041704,-0.653063304,-0.064012905,1.121984298,0.045406263,0.741795887,-0.002342021,-0.09956237
"['339053.921082', '339056.605775']",0.720319051,0.642322034,0.418042878,4.516674172,2.825404183,2.810236088,0.577345556,0.2418,0.119208889,-0.928253333,0.041694444,0.020541111,0.433146938,0.598405484,0.402930529,4.445022743,2.840923519,2.825904337,0.56215,0.0824,0.1411,-0.69175,0.22,0.69875,4,1,0.784294737,0.485834637,4,1,0.441172727,0.680614561,4,1.732050808,0.292655,0.377959394,4,2.449489743,1.603511111,3.658127066,6,2.645751311,0.730007143,2.569763988,5,3.16227766,1.607373333,2.073142076,0.468102888,1.779946205,0.046905958,-0.026325236,-1.225077912,-1.303699881,-0.207106783,3.572304442,0.631675054,2.834191912,1.916981236,2.619836207
"['339054.826029', '339057.510765']",0.783462804,0.850738248,0.446098323,5.868479525,3.70007185,3.721095019,0.630516667,0.441786667,0.097765556,-1.699566667,-1.047815556,-0.57559,0.467645824,0.731108206,0.437691915,5.64845336,3.568487678,3.696904241,0.59405,0.20495,0.089,-1.05355,-0.33825,0.4987,4,1.414213562,0.829957895,0.490668126,3,1,0.769330435,0.821837821,5,2.236067977,0.373817647,0.423853861,5,3,1.594986667,4.832777885,6,2.449489743,0.61874,2.797865865,7,3.741657387,1.506676923,2.844779149,0.329006204,1.133639858,0.070172661,0.086686965,-0.760884452,-0.815776817,-0.375530961,0.517655963,0.02350891,0.520011359,-0.13809228,0.257263103
"['339055.731003', '339058.415733']",0.709712884,0.647488168,0.362315882,4.226677583,3.194043245,2.950344338,0.567502222,0.269662222,0.051647778,-1.181514444,0.284002222,0.261442222,0.428572552,0.591960077,0.360624887,4.080915339,3.199215053,2.955201415,0.52865,0.0841,0.0848,-0.628,0.36135,0.7269,4,1,0.722531579,0.494466031,4,1,0.591118182,0.683508226,5,2.236067977,0.244182353,0.32443008,4,2,0.980816667,3.01786356,6,2.645751311,1.662993333,2.322642505,6,3,1.2615,2.18499484,0.53767952,1.603458712,-0.464675124,-0.593718161,-1.332570831,-1.386702639,-0.403080555,2.378029674,0.165927069,1.990028626,1.510882548,2.857923168
"['339056.635926', '339059.320659']",0.741945062,0.779492026,0.378083118,5.43180495,3.533521164,3.994680763,0.611642222,0.409675556,0.069857778,-1.594106667,-0.867452222,-0.811522222,0.422324547,0.66686958,0.373654983,5.2217131,3.444580276,3.933294281,0.59925,0.21055,0.0807,-0.68725,-0.3378,0.54635,5,2,0.813233333,0.473750837,4,1.414213562,0.757880952,0.751558519,4,1.414213562,0.345847059,0.335374887,5,2.828427125,1.7549625,4.657248365,7,3.16227766,0.8475,2.595270918,7,4,0.822541667,3.154982598,0.397616632,1.331617654,-0.233014365,-0.10565302,-0.76786706,-0.887699541,-0.355843565,1.372437918,0.172472134,0.450369827,-0.119306874,0.125177002
"['339057.540916', '339060.225667']",0.6426099,0.568922254,0.359276748,4.399291323,2.706965756,3.353106329,0.532272222,0.271788889,0.044324444,-1.525732222,0.448713333,0.261388889,0.362063977,0.502603333,0.358529475,4.149362317,2.684472193,3.361630509,0.4903,0.1307,0.1127,-0.9787,0.64395,0.9338,5,2.449489743,0.694205556,0.439378119,4,1.414213562,0.485247368,0.581387889,5,1.732050808,0.271,0.349870503,5,2.236067977,1.269266667,3.911717671,6,3.16227766,1.632846154,2.229044649,6,4,1.462414286,2.694830862,0.537092001,1.932108531,-0.367528363,-0.299380653,-1.163098613,-1.518965538,-0.143808957,5.190076097,0.040422859,2.245658305,1.355006867,2.40721392
"['339058.445885', '339061.130635']",0.690546827,0.724805907,0.401348071,5.21521548,3.135402536,4.009233529,0.562368889,0.380185556,0.123284444,-1.300206667,-1.106536667,-1.02511,0.402989584,0.620549133,0.38408376,5.078832655,2.950089144,3.897679039,0.50775,0.19035,0.1655,-1.06225,-0.54035,0.5753,4,1.414213562,0.82038125,0.498540719,4,1,0.602689474,0.695117029,4,1.732050808,0.427888889,0.366399122,7,4.472135955,2.768608333,5.342529619,6,2.645751311,-0.145735714,2.225863026,7,4.582575695,0.779833333,3.208443719,0.776380108,1.490751933,0.297927187,0.255122661,-0.728396774,-0.939098672,0.451623088,2.181515098,0.215257778,0.941817583,0.332690441,-0.010575298
"['339059.350841', '339062.035618']",0.666185859,0.607344583,0.402035249,4.480984678,2.860688155,3.18468114,0.535364444,0.295402222,0.060323333,-1.578881111,0.264751111,0.312162222,0.398691201,0.533637584,0.3997107,4.217102992,2.864368317,3.187100729,0.46965,0.1366,0.09685,-1.44485,0.4028,0.86505,4,1.414213562,0.73415,0.490034821,4,1.414213562,0.586495,0.563509258,4,2,0.27105,0.421208901,6,4,0.966876923,4.213092101,5,3,1.118766667,2.596287629,7,4.795831523,1.86695,2.645657356,0.803402648,1.482771946,0.202273879,0.325398011,-1.059664741,-1.361842392,0.318813166,2.626124446,0.022474969,2.168262151,1.357461131,2.010923764
