time,rmsAx,rmsAy,rmsAz,rmsGx,rmsGy,rmsGz,meanAx,meanAy,meanAz,meanGx,meanGy,meanGz,stddevAx,stddevAy,stddevAz,stddevGx,stddevGy,stddevGz,mediAx,mediAy,mediAz,mediGx,mediGy,mediGz,avgdisAx,stddisAx,avgampAx,stdampAx,avgdisAy,stddisAy,avgampAy,stdampAy,avgdisAz,stddisAz,avgampAz,stdampAz,avgdisGx,stddisGx,avgampGx,stdampGx,avgdisGy,stddisGy,avgampGy,stdampGy,avgdisGz,stddisGz,avgampGz,stdampGz,skewAx,skewAy,skewAz,skewGx,skewGy,skewGz,kurtAx,kurtAy,kurtAz,kurtGx,kurtGy,kurtGz
"['46001.117712', '46003.811679']",0.198116484,0.378271176,0.318239398,2.421088599,1.423503818,1.836988047,0.07447,-0.020004444,0.037161111,0.752071111,0.05666,-0.126604444,0.184615983,0.379858067,0.317832953,2.31420944,1.4303443,1.842886951,0.1104,0.01325,-0.0352,0.96735,0.33245,0.23855,4,2,0.228364706,0.142585952,4,1.414213562,0.207057895,0.193880107,4,2.236067977,0.249942105,0.306117206,4,1.732050808,2.152322222,1.855434881,7,2.645751311,0.77935,1.417700274,6,3.872983346,1.080346154,1.438353531,-0.534761383,-1.66527136,0.227486517,-0.534111394,-0.319022268,-0.578843455,1.133409329,4.01097341,0.421593189,0.33859925,-0.503156286,-0.815562634
"['46002.027410', '46004.726455']",0.182926235,0.354261308,0.25264002,2.020538082,1.131435685,1.854176575,0.07814,-0.025346667,0.0216,0.325992222,0.516646667,0.522481111,0.166323541,0.35533298,0.253125136,2.005238333,1.012228956,1.789006954,0.08545,0.0185,0.0424,0.4385,0.367,1.1101,4,1,0.207813636,0.165311479,4,1.414213562,0.190657895,0.183656773,4,1,0.202033333,0.218571326,4,1.414213562,1.564166667,1.628195107,5,2,0.947153333,0.936717454,5,2.828427125,1.364166667,1.183439157,0.300046235,-1.948701665,-0.227485525,-0.529031427,0.089822133,-1.418771481,0.476591743,5.746318895,1.496691428,1.290614558,0.508080071,0.792019988
"['46002.937135', '46005.636177']",0.17476668,0.378337128,0.249455169,1.681098905,1.166245608,1.839040978,0.083956667,0.019818889,0.000575556,0.193713333,0.652736667,0.314997778,0.15413843,0.379934315,0.25085202,1.679256057,0.971884129,1.822013736,0.0871,0.0415,-0.00365,0.29315,0.6616,1.0756,4,1,0.207109091,0.164585499,4,1.414213562,0.255647368,0.230654642,4,1.414213562,0.17037,0.218432095,5,2,1.3691375,1.348852854,5,2,1.07396,0.85177693,4,2,1.169675,1.279931878,0.467338794,-1.626087198,-0.230530534,-0.170199434,-0.258938045,-1.11160807,0.425553602,4.917413546,1.064873567,1.699590025,1.035829059,-0.012380251
"['46003.841830', '46006.540858']",0.157676352,0.231213929,0.177367038,1.399140721,0.895891532,1.507196872,0.083702222,0.048114444,0.008518889,0.316272222,0.281686667,0.342474444,0.134374092,0.227419311,0.178154854,1.370561262,0.855219818,1.475994542,0.0724,0.03515,0.0113,0.39875,0.2343,0.9146,4,1,0.184604762,0.142840644,4,1,0.181821053,0.26203533,4,1.732050808,0.120136842,0.170321566,5,2,1.253523529,1.236532875,5,2,0.575473333,0.899548442,5,2.236067977,0.77736875,1.35462448,0.308436571,0.794144309,-0.083293739,0.129583559,-0.012355589,-0.720370462,0.29705172,1.375242529,-0.278122665,-0.248310728,-0.443219376,-0.746302418
"['46004.756606', '46007.445552']",0.200927118,0.236687719,0.180612536,1.801104475,1.20137604,1.56581339,0.136264444,0.026235556,0.036277778,-0.18564,-0.030361111,0.3197,0.148488024,0.236547011,0.177922878,1.801548525,1.207720637,1.541415931,0.1152,0.01385,0.03425,-0.3071,-0.0101,0.94695,4,1.414213562,0.2036,0.120054913,4,1,0.118227273,0.27105863,4,1.414213562,0.129405,0.1750786,4,1.414213562,0.540757895,1.780618917,7,5,0.438383333,1.374170491,6,3.605551275,0.772716667,1.590278097,1.876719537,0.843223006,0.272670108,-0.188870058,0.766129317,-0.580834106,6.263462347,0.995433775,-0.052708032,-0.086909193,0.53926069,-1.057237873
"['46005.666329', '46008.350267']",0.294108672,0.425803844,0.265380193,3.373825489,1.73603064,1.976224139,0.119618889,0.034462222,0.063577778,0.145864444,0.100225556,0.046754444,0.270189507,0.42678461,0.259095361,3.38955431,1.742844601,1.986739264,0.1256,-0.0073,0.0572,-0.30295,-0.49145,0.49385,4,1.414213562,0.241252632,0.270847566,3,1,0.264886364,0.557068608,4,1,0.19244,0.275448993,4,1.414213562,1.598838889,3.735420222,8,6.32455532,0.728911111,2.061288269,6,3.872983346,0.604858333,2.364302327,-0.033561138,1.721580836,-0.331979709,1.134006688,0.725039007,0.231248918,0.881975381,5.908030938,0.892169123,3.990302537,-0.579803939,-0.386796595
"['46006.571009', '46009.254957']",0.416000401,0.497978233,0.309153938,4.008177538,2.487599856,2.176962268,0.238521111,0.13494,0.140032222,-1.128432222,1.180555556,0.888612222,0.34273784,0.482032407,0.27716547,3.867600235,2.201888225,1.998476873,0.2155,0.06835,0.12105,-0.92105,1.14195,0.9904,5,2,0.360864706,0.3497134,4,1,0.344528571,0.591611877,4,1,0.27,0.285936015,5,2,1.208726667,4.064644594,13,9.746794345,2.136628571,2.553917863,8,5.744562647,1.41111,2.610706704,-0.001944404,0.867377938,-0.701790454,0.987844272,0.078336788,-0.023455452,0.284071581,1.89764704,0.771487152,3.293532328,-1.054491125,-0.10690606
"['46007.475703', '46010.159658']",0.390823495,0.492820346,0.293290622,3.911103556,2.328211066,2.12019979,0.182918889,0.140383333,0.10255,-0.986203333,1.161264444,0.532211111,0.347309589,0.475049343,0.27631727,3.80592687,2.02923257,2.063813051,0.1333,0.0064,0.07895,-0.923,0.942,0.51955,4,1.732050808,0.306536842,0.331510791,5,1.732050808,0.404833333,0.607744301,5,2,0.2159875,0.283605364,7,3.16227766,2.3163,4.306068776,10,8.426149773,1.2764125,2.362574445,12,7.681145748,1.4314,3.085545543,0.28477726,0.893806772,-0.458266223,0.959963971,0.316391145,0.328630994,0.115216334,2.126553577,0.540333004,3.534344407,-0.737280674,-0.226449236
"['46008.380419', '46011.064351']",0.31895765,0.309915433,0.199903237,2.711721765,1.925639017,1.680235499,0.172627778,0.0582,0.056477778,-1.708486667,0.581282222,0.647792222,0.269707019,0.306106947,0.192833422,2.117624654,1.84609425,1.559026242,0.0811,-0.02725,0.0369,-1.323,-0.1708,0.628,4,1.414213562,0.204582353,0.26526418,6,1.732050808,0.171061538,0.341690597,6,2.236067977,0.161786667,0.187634283,8,3.16227766,-0.208581818,1.11563348,10,6.557438524,0.489822222,2.062281359,15,7.416198487,2.00452,1.660596156,1.530706129,0.752989109,0.602615701,-1.677538799,1.323914326,0.506701651,2.286396337,-0.305555533,0.421674576,3.598763432,0.672574794,0.479214912
"['46009.285108', '46011.969057']",0.166960227,0.17649343,0.140016636,1.580596145,0.642799497,1.368247783,0.040984444,-0.009936667,-0.021055556,-1.291752222,-0.377401111,0.245121111,0.162758501,0.177200686,0.13919992,0.915959823,0.523260774,1.353653348,0.0347,-0.0306,0.0197,-1.21155,-0.5628,0.3847,5,1.414213562,0.145535294,0.195971745,7,3,0.083791667,0.160745601,6,2.449489743,0.068461538,0.104998774,8,2.236067977,-0.616190909,0.501301766,8,5.291502622,-0.291111111,0.542888583,16,6.92820323,1.47394,1.288121385,1.122382184,0.019183597,-0.699886724,-0.179243114,0.37895411,0.200825278,2.755032048,-0.668655278,-0.220018924,3.008609978,-0.892898376,-0.365154727
"['46010.189809', '46012.873795']",0.186470908,0.247029329,0.145064472,2.074607803,0.774246379,1.573041887,0.048541111,0.023672222,-0.014341111,-1.36412,-0.309977778,0.083597778,0.181050753,0.247270047,0.14516256,1.571822368,0.713461344,1.579619131,0.04495,-0.0037,0.0197,-1.4326,-0.43945,0.17415,6,1,0.196926667,0.193381527,7,3.464101615,0.132954545,0.314735004,6,2.236067977,0.081428571,0.113731042,6,3,-1.100883333,0.868974695,9,5.567764363,-0.216422222,0.837694674,16,7.211102551,1.47038,1.28639069,0.502353759,0.311514072,-0.608252332,0.677088774,0.288985992,0.014511975,1.495248988,-0.461632192,-0.399372027,2.267303618,-1.09265732,-0.696930837
