0,0,0,0.92438,0.17473
0,0,0,0.92438,0.21439
49,0,0.25648,0.74302,0.228
33,0,0.27418,0.75554,0.21444
0,0,0,0.94941,0.18331
0,0,0,0.94941,0.15451
0,0,0,0,0.035757
0,0,0,0,0.026708
0,0,0,0,0.023136
0,0,0,0.59825,0.093173
21,0,0.89543,1.2314,0.72636
20.5,0.70711,1.2827,1.8755,1.4325
17,4.9666,0.63516,2.2281,1.7537
15.2,4.6043,0.56624,2.4322,2.003
16.25,7.0887,1.2413,2.9507,2.5398
22.333,4.7258,1.1974,4.3436,3.1193
17,4.9666,1.1196,4.2644,3.259
18.25,5.5603,1.0724,3.9264,3.0239
17.25,4.9917,0.95019,3.8748,3.0728
20.333,8.0208,0.62462,4.2663,3.1855
19.75,6.8496,0.37249,4.3342,3.2826
15,6.6833,0.34217,3.9478,2.9058
14,5.7009,0.50495,4.0327,2.9838
12,4.9396,0.48037,3.9902,2.9234
14.6,5.3666,0.54876,3.9946,2.787
13.8,6.7971,0.59046,3.5845,2.4031
15,5.831,0.66348,3.0511,2.0508
14.8,4.4385,0.55264,2.9314,1.9721
9.1429,4.4508,1.1631,3.5688,2.2764
10,4.899,1.4709,4.286,2.9801
7.8,3.9944,1.4889,4.0564,3.0777
7,1.5492,1.7296,3.9051,2.7443
11.143,10.792,1.191,3.534,2.3453
8.5,3.0166,1.3745,3.2498,2.0327
9.2222,3.6667,1.3679,2.8126,2.0522
11.143,4.8107,0.87529,2.3591,1.7779
14.2,3.4928,1.0201,2.741,1.8989
10.125,6.2436,0.87057,2.4668,1.8524
8.6667,5.1235,0.73863,1.908,1.4074
7.375,3.5431,0.4643,1.5685,0.9896
11.833,5.2694,0.33239,1.3397,0.84989
14.167,6.6156,0.76605,1.6548,1.0874
13.333,5.6804,0.76268,1.7164,1.1901
9.2222,4.8677,1.8452,3.2336,2.2032
8.125,4.4219,1.6861,3.6603,2.3032
8.8889,5.0111,1.3584,4.1483,2.7793
8.75,4.0267,0.9253,3.697,2.4728
8.1,3.8715,0.94493,3.4537,2.5544
6.75,2.5628,0.92175,3.2414,2.3634
7.1667,2.7579,1.8584,3.7498,2.8606
7.9,2.9231,2.2138,3.6415,2.9185
9,3.0706,2.3698,4.1178,3.1939
8.8571,3.9761,1.682,2.5559,2.5462
12,4.8648,1.5738,2.9686,2.3411
9.75,4.9497,1.2415,2.3913,1.8344
8.6667,3.6148,1.6618,3.2109,2.4973
11.571,8.3638,1.6803,3.6673,2.7564
13,9.0333,1.7968,3.4482,2.6248
9.8571,5.0143,1.616,2.6306,1.8191
13.167,5.1153,3.2551,2.8486,3.1633
11.5,4.8888,3.3555,2.5874,3.111
8.5556,4.9526,2.7294,2.4874,3.1637
7.6,2.7162,0.6359,1.8543,1.3687
7.8182,3.8683,0.90413,2.2477,1.6087
8.8333,4.3551,0.99643,2.5891,1.6053
14.5,13.229,1.4386,2.1986,1.3792
27,22.627,1.5796,2.1047,1.3312
18,17.166,1.5602,3.2534,1.6981
10.333,5.0067,1.5448,2.7362,1.7129
9.1429,4.5617,1.55,2.1328,1.4589
11.667,8.0911,0.93275,1.644,1.2808
12.6,8.3845,1.3326,2.5418,2.0241
10.333,0.57735,0.51185,3.3619,2.0223
0,0,0,3.787,2.6371
7.6667,3.5119,2.8384,3.5734,2.5149
9.5,5.9245,2.2554,3.059,2.644
10.714,6.1296,1.04,2.3058,2.2462
16,11.343,2.5165,3.8204,2.9864
18.75,8.4212,2.5179,4.1588,3.3929
20,11.358,2.8062,4.3265,3.2162
20,11.358,1.5145,2.8939,2.349
16.333,7.5056,1.7163,2.9412,2.0793
19.25,13.376,3.6046,5.8386,3.3774
11.143,11.006,3.2415,4.8099,3.3572
9.3333,8.1158,3.6132,4.5777,3.0331
11.143,10.637,1.332,2.7095,1.6381
10,8.2057,0.85037,2.2184,1.4395
7.6667,2.7386,3.0849,3.6829,3.8872
8.1,2.6854,3.2536,4.3304,4.585
