12.667,3.1411,0.67362,4.8303,3.4537
11.167,3.3714,0.83449,5.5094,3.832
11.714,6.7753,0.92575,5.7983,3.9637
9.125,7.1801,0.59005,6.1264,4.2478
7.4444,2.9202,0.77075,5.7065,4.0901
8.4,4.1952,0.67493,5.5892,4.14
9.1111,4.4284,0.73086,5.5114,3.9907
8.5556,3.9721,0.65186,5.8419,4.1948
9.3333,4,0.641,5.7869,4.2385
8.5556,3.8115,4.9839,8.3141,6.1964
10,4.6904,5.9571,7.6529,5.8494
10.857,4.2201,6.9051,7.3272,5.6926
9.2857,4.1115,2.4007,3.6944,3.2837
9.125,3.7583,7.4854,7.3148,5.549
11,4.4347,8.0443,7.1078,5.2262
12,5.1769,9.1948,6.3432,4.8779
9.75,4.1318,0.20014,1.4623,1.0839
9.375,4.7189,0.20507,1.4071,1.049
9.1429,5.0474,0.24435,1.3838,0.9928
10.667,7.4744,0.12334,1.2569,0.87961
11.667,6.2183,0.19746,1.1423,0.79483
10.5,2.3452,0.43056,1.3804,0.98364
10.429,3.3594,0.40186,1.477,1.0865
10.286,3.0938,0.35866,1.4919,1.1098
10.143,3.132,0.27691,1.3326,0.92907
10.167,3.4303,0.24485,1.1727,0.77195
12.667,2.5166,0.32983,1.1746,0.62996
54,0,0.43869,1.0507,0.98338
13,9.0554,3.2002,5.6592,3.382
9,4.0497,1.4893,6.4373,4.161
9.5714,3.994,1.6246,6.7411,4.8103
12.833,7.7567,5.4255,9.3063,5.464
13.8,8.5849,6.9634,8.6215,4.9445
10.857,4.1404,6.8889,5.9798,4.4425
10.833,3.656,9.0273,6.6714,5.0981
10.429,4.5408,8.6005,5.9473,5.0775
8.4,4.0056,7.5013,4.7083,5.0683
7.0909,2.5477,0.17134,1.5136,1.1068
7.5,3.6286,0.2233,1.5225,1.0853
8.125,3.6425,0.34242,1.6321,1.3319
9.7143,3.2514,0.53253,1.99,1.6505
10.125,3.0909,0.7357,2.0297,1.7169
8.625,2.8754,0.7427,1.8366,1.5627
10.625,6.093,0.83496,1.9213,1.7017
18.5,5.9161,0.60535,2.2384,1.7252
16,7.5829,0.65322,2.1086,1.728
8.8,4.4385,0.32081,1.6253,1.9404
10.286,8.1591,5.5106,5.0913,4.3687
12.833,8.1343,5.0371,6.7499,4.7468
10.375,3.1595,3.9971,7.0437,5.2727
10.571,3.994,6.9583,9.4663,6.2853
11.571,5.1594,7.6942,8.5982,6.0164
9.25,5.203,9.6532,10.363,7.3337
9,4.2762,8.0033,6.3568,5.0608
9.5,4.7809,8.0442,6.2922,5.0353
9.2857,3.9461,0.3728,1.6314,1.2411
9.875,4.6733,0.33662,1.6347,1.1966
9,4.504,2.0311,2.9563,2.595
9.4286,2.6367,1.8159,3.9532,3.1366
11.571,2.6367,0.92247,4.95,3.591
11.857,2.0354,6.3243,7.1053,4.8126
12,3.0984,7.4144,8.5421,5.4861
11.667,2.9439,7.9803,7.7136,5.2273
14.8,5.0695,5.0975,4.1772,4.0146
13.6,5.7706,2.339,3.8006,3.0867
11.8,2.6833,2.4194,5.245,3.891
11.833,2.6394,7.1722,9.5081,6.2247
9.625,3.42,7.4941,6.824,5.6686
8.4444,3.283,7.4305,5.4124,5.1178
8.2,3.4577,0.49697,1.784,1.4006
9.75,3.7702,0.33368,1.5961,1.2557
9,3.5051,0.19642,1.4297,1.0519
10.286,3.4017,0.19984,1.4405,0.95514
12.25,2.5,0.37771,1.2787,0.77259
11,2.8284,0.45757,1.1393,0.50997
0,0,0,0,0.26965
0,0,0,0.74953,0.31488
0,0,0,0.74953,0.33042
0,0,0,0,0.49013
11,0,3.0919,20.334,4.984
9,2.8284,9.7631,7.8618,5.016
8.625,3.2043,8.3169,5.7969,5.0455
8.1111,3.4801,0.31942,1.5503,1.1217
7.3,2.8304,0.28687,1.5779,1.1583
8.7778,2.8626,0.29877,1.6447,1.1953
11.143,3.7161,0.21481,1.686,1.2483
10.429,4.0356,0.34564,1.9193,1.3621
10.286,4.2706,0.31562,1.9048,1.417
9.75,4.0267,0.557,1.9527,1.4046
8.75,3.6547,0.53705,1.7578,1.3049
7.8889,3.6553,0.24425,1.6336,1.3431
9.25,4.432,0.29615,1.8491,1.4443
9.5714,3.5523,0.48505,2.0451,1.7552
15.4,10.479,2.085,3.2826,2.5728
