time,rmsAx,rmsAy,rmsAz,rmsGx,rmsGy,rmsGz,meanAx,meanAy,meanAz,meanGx,meanGy,meanGz,stddevAx,stddevAy,stddevAz,stddevGx,stddevGy,stddevGz,mediAx,mediAy,mediAz,mediGx,mediGy,mediGz,avgdisAx,stddisAx,avgampAx,stdampAx,avgdisAy,stddisAy,avgampAy,stdampAy,avgdisAz,stddisAz,avgampAz,stdampAz,avgdisGx,stddisGx,avgampGx,stdampGx,avgdisGy,stddisGy,avgampGy,stdampGy,avgdisGz,stddisGz,avgampGz,stdampGz
"['44225.63495', '44228.31926']",0.263399313,0.162907191,0.162832306,0.425113417,0.448921309,0.271275013,0.032194444,0.028152222,-0.010095556,0.013658889,-0.016408889,0.019173333,0.262888972,0.161355162,0.163429522,0.427274307,0.451134625,0.272112552,-0.01545,0.0242,-0.01505,0.04245,-0.0527,0.02695,4,1.414213562,0.296827778,0.225742669,4,1.414213562,0.181005,0.160716588,4,1,0.140485,0.106202281,5,1.732050808,0.26980625,0.367572513,4,1.414213562,0.261573684,0.404207271,5,2,0.250094118,0.24318721
"['44226.53978', '44229.22407']",0.278914883,0.181703981,0.172315384,0.623497106,0.772464179,0.348328183,0.071275556,0.023323333,-0.005088889,0.106102222,0.028146667,0.081573333,0.27116473,0.181210421,0.173205163,0.617844989,0.776275902,0.340539036,0.07215,0.0369,-0.01505,0.0776,0.0216,0.0685,4,1,0.31343,0.221724597,4,1.414213562,0.212833333,0.157025064,4,1,0.16356,0.110887166,5,2.449489743,0.51725,0.647116137,4,2,0.242433333,0.897131857,5,2,0.342905882,0.310952763
"['44227.44459', '44230.12889']",0.2322611,0.173500084,0.162192044,0.595298621,0.871891311,0.54899196,0.027436667,-0.014701111,-0.004318889,0.118814444,0.212466667,0.215822222,0.231926963,0.173844632,0.163042855,0.586589091,0.85034503,0.507617974,-0.0042,-0.01785,-0.00745,0.0841,0.23195,0.1433,4,1.414213562,0.220910526,0.222403067,5,1.732050808,0.113927778,0.15466651,4,1.414213562,0.149955556,0.105868938,5,2.645751311,0.47554375,0.655085507,5,2.828427125,0.4452375,1.035135188,5,3.16227766,0.476466667,0.456111233
"['44228.34941', '44231.03368']",0.219488782,0.192578832,0.180609214,0.613726027,0.917431006,0.764939692,0.000398889,-0.030861111,-0.00963,0.020121111,0.146696667,0.26698,0.220718056,0.191154913,0.181362682,0.616832521,0.91070029,0.720852313,-0.0236,-0.04255,-0.0171,-0.03305,0.1139,0.3325,4,1.732050808,0.168175,0.221032874,4,1.732050808,0.117161111,0.190366903,5,1.732050808,0.168382353,0.184267609,4,2.236067977,0.368005263,0.66393361,5,2.828427125,0.406107143,1.156474233,6,3.605551275,0.735615385,0.509857132
"['44229.25422', '44231.93851']",0.201865163,0.184392655,0.201477259,0.526568301,0.805419108,0.807326425,-0.044165556,-0.046571111,-0.017184444,-0.102348889,0.093348889,0.201191111,0.198077992,0.179414167,0.201867691,0.519419504,0.804472981,0.786235722,-0.0594,-0.05765,-0.02755,-0.1322,0.10225,0.31455,4,1.732050808,0.11825,0.214345504,4,1.414213562,0.083431818,0.173430701,4,1.732050808,0.183336842,0.241412545,4,1.414213562,0.201925,0.579448787,4,1,0.276066667,0.902366383,6,3.16227766,0.739753846,0.755992439
"['45890.31705', '45893.001']",0.284940089,0.310899182,0.254589626,1.418117352,0.411457066,0.642064226,-0.055741111,0.077917778,0.003626667,-0.225235556,-0.032332222,0.049942222,0.281000229,0.302663103,0.255989933,1.407960191,0.41248274,0.643705059,-0.0674,0.05535,0.0257,-0.08035,-0.0591,-0.17295,4,1,0.24945,0.291205029,4,0,0.31047619,0.299820004,4,1,0.2359,0.189474463,4,1.732050808,0.666052632,0.632173654,4,1.414213562,0.172938889,0.508846274,4,1,0.327909524,0.736758328
"['45891.22175', '45893.9057']",0.261352359,0.221367585,0.209423768,0.873809438,0.309844914,0.438687873,-0.051967778,0.005203333,0.009138889,0.174173333,0.072261111,-0.040186667,0.257568503,0.222546245,0.210396405,0.861071925,0.302988823,0.439290635,-0.04685,0.0082,0.02605,0.16415,0.06365,-0.19365,4,1,0.257921053,0.244862918,4,0,0.193614286,0.18702417,4,1,0.206071429,0.176484654,4,1.414213562,0.853055556,0.804872801,4,1,0.266494737,0.326818226,4,1,0.120705,0.392818331
"['45892.12646', '45894.81041']",0.28394229,0.231587016,0.22553024,0.882736118,0.31325466,0.493907128,-0.035335556,-0.001933333,0.011894444,-0.066703333,0.016597778,-0.055662222,0.283313382,0.232876317,0.226478091,0.885143515,0.314567111,0.493509983,-0.0284,0.00065,0.02605,-0.12495,-0.0316,-0.22105,4,1,0.310431579,0.215040508,4,1,0.211215,0.210055943,4,1.414213562,0.227457143,0.180472127,4,1,0.528984211,0.898086554,4,1,0.199436364,0.345094338,4,1,0.145619048,0.436946849
"['45893.03115', '45895.71511']",0.266714874,0.275229395,0.210702872,0.895292703,0.301780955,0.552646833,-0.044704444,0.004303333,-0.016212222,0.181093333,0.099861111,0.092893333,0.264414773,0.276737476,0.211255152,0.881698314,0.286375163,0.547835799,-0.0363,0.01545,0.0004,0.22045,0.1188,0.0317,4,1,0.263685,0.155593232,4,1,0.273195238,0.188294284,4,1.414213562,0.19231,0.108147399,4,1,0.869105263,0.918825354,4,1,0.281190476,0.314031737,4,1,0.327595,0.531781896
"['45893.93585', '45896.6198']",0.344487491,0.267324385,0.215963067,0.822242454,0.226649743,0.47118929,-0.048488889,0.008407778,-0.014791111,-0.112835556,-0.001186667,-0.05426,0.342968556,0.268689019,0.216663002,0.819026355,0.227916376,0.470676873,-0.04675,0.01485,-0.0013,-0.08855,-0.01845,-0.10015,4,1,0.334385,0.197084605,4,1,0.29491,0.182481679,4,1,0.190257143,0.128881576,4,1.414213562,0.627842105,0.663496504,4,1,0.155747368,0.202335001,3,1,0.194185714,0.490396978
