46808.7575,-0.0635,-0.1781,0.663,-2.7631,0.6554,0.434
46808.78765,0.3885,0.2237,-0.958,0.2982,0.8954,0.3799
46808.8178,0.5508,-0.5809,-0.1787,-0.2411,0.1779,0.4166
46808.84798,-0.1257,-0.148,-0.2741,-1.2466,0.9635,0.0736
46808.87813,-0.4374,-0.4451,-0.0093,1.9003,1.2211,1.0379
46808.90829,0.5943,-0.3934,0.2712,-0.0153,0.8396,0.4903
46808.93844,-0.3237,-0.0562,0.1704,-0.6225,0.6531,0.5469
46808.96862,-0.2001,0.2197,0.3401,0.7041,0.9899,0.994
46808.99876,1.0118,-0.1157,0.4344,-0.6599,-0.1496,-0.0014
46809.02891,-0.5738,0.1533,-0.5506,-0.585,0.3445,-0.157
46809.05907,1.4517,0.1166,-0.6137,-0.8744,-1.7284,-0.299
46809.08922,-0.5063,0.1821,-0.4107,-1.2806,0.0739,-0.4155
46809.1194,-0.6976,-0.2203,0.5226,1.4757,0.2145,1.4245
46809.14955,0.6112,-0.036,-0.3368,-0.5653,0.11,0.2467
46809.1797,-0.6673,0.0078,0.239,0.1196,0.2318,0.0784
46809.20985,0.9449,0.1045,-0.0185,0.0452,-0.7837,0.0943
46809.24,-0.4055,-0.0896,0.0597,-0.4126,-0.1916,-0.1319
46809.27019,0.0359,0.0354,0.5005,0.419,-0.519,0.3502
46809.30034,-0.0021,-0.1162,-0.0329,-0.7167,-0.1213,0.1196
46809.33049,0.2033,-0.1498,-0.0249,0.4197,-0.5555,0.043
46809.36064,-0.1379,0.0551,-0.5792,-0.1586,0.5071,-0.3488
46809.39079,-0.5442,-0.0074,0.0333,0.7082,0.5497,-0.2992
46809.42097,0.0803,0.0135,0.5564,1.5184,-0.2701,0.3631
46809.45112,0.6835,0.3138,-0.685,-1.4935,-0.1249,-0.2365
46809.48128,-0.4294,0.0493,0.1264,-0.2468,-0.1731,-0.2962
46809.51143,0.1508,-0.0116,0.0703,-0.1278,-0.3899,-0.2303
46809.54161,-0.1253,-0.2366,0.325,0.1367,-0.0983,0.0631
46809.57176,0.0197,0.045,0.3886,-0.3725,-0.0212,0.0876
46809.60191,0.3242,0.1463,-0.2815,-0.6488,-0.616,-0.0541
46809.63206,-0.3484,0.1375,-0.1114,-0.8318,-0.3091,-0.4862
46809.66222,-0.0882,-0.0838,0.3657,1.055,0.0322,0.5209
46809.6924,0.7675,-0.2267,0.0724,-0.122,-0.1236,-0.1256
46809.72255,-0.422,-0.261,0.0349,-0.2518,0.3378,0.1322
46809.7527,0.2222,-0.1664,-0.0491,0.5847,0.4769,0.3193
46809.78285,-0.1169,-0.0429,-0.0373,0.0793,0.5984,0.0597
46809.813,-0.3285,-0.1658,-0.003,-0.1029,0.6773,0.3745
46809.84318,0.1574,0.1225,-0.0211,-0.2535,0.4226,0.5671
46809.87334,-0.0395,-0.2249,0.2663,0.0422,0.49,0.4984
46809.90349,0.4681,-0.2824,0.108,0.1923,0.1213,0.2638
46809.93364,-0.3194,-0.3856,0.2726,1.3692,0.3517,0.5986
46809.96379,-0.0275,0.221,-0.7859,0.2176,0.9007,0.1242
46809.99398,0.002,0.2452,-0.0925,0.0186,0.4541,-0.0484
46810.02414,0.0775,0.122,0.1471,-0.1618,0.3495,-0.0933
46810.05429,0.352,0.1024,0.0462,-0.0717,-0.5426,0.2253
46810.08444,0.047,-0.1789,-0.1714,-0.5294,-0.4625,0.0585
46810.11459,-0.2564,0.2673,0.1703,-0.8598,-0.2622,0.2211
46810.14477,-0.0038,-0.1003,0.6774,1.1132,-0.8009,-0.0083
46810.17492,-0.2345,-0.4514,0.1985,0.1709,-0.39,-0.1069
46810.20507,0.0084,0.0605,-0.009,-0.0686,0.1585,-0.1812
46810.23523,-0.173,-0.2246,-0.0413,0.315,0.1695,-0.1871
46810.26541,-0.1807,-0.0408,0.1381,0.4827,0.2597,-0.3851
46810.29556,-0.2764,0.0305,0.0168,0.813,0.1827,-0.1061
46810.32571,0.1315,-0.0667,-0.1354,-0.1308,0.0095,-0.3792
46810.35586,-0.2896,-0.0029,0.2047,0.9114,-0.1736,0.0732
46810.38601,0.5593,0.1317,-0.3095,0.0505,-0.3269,-0.3612
46810.4162,0.1299,0.0339,-0.2496,-0.4132,-0.2452,-0.4243
46810.44635,-0.2642,0.2046,0.1227,-0.068,-0.0784,-0.3851
46810.4765,0.6899,-0.0646,0.0799,-0.0475,-0.5019,-0.3155
46810.50665,0.3194,0.0417,0.0083,-0.3341,-0.5781,-0.3657
46810.5368,-0.4457,-0.1502,-0.0184,-1.5883,-0.1332,-0.5298
46810.56698,-0.6614,-0.3716,0.6926,2.3773,1.1527,1.5225
46810.59713,1.3718,-0.2198,0.0178,0.2683,-0.7802,0.2186
46810.62729,-0.2358,0.0692,0.1999,-1.0974,-0.6478,-0.272
46810.65744,-0.0157,-0.0632,-0.0762,-0.3528,-0.2766,-0.0811
46810.68759,0.0307,0.0394,-0.0517,-0.744,-0.4638,-0.0819
46810.71777,0.3905,0.0909,-0.1694,0.1335,-0.3283,-0.0413
46810.74792,0.2174,-0.019,-0.5423,-1.0125,0.0755,-0.2055
46810.77807,-0.2489,0.0758,-0.0776,-0.0559,0.3646,-0.0203
46810.80822,0.1122,0.1146,-0.1485,-0.3721,0.3129,-0.0617
46810.83838,-0.5657,-0.2393,0.3702,0.3163,0.5755,0.6128
46810.86856,0.7112,-0.2329,-0.283,0.3169,0.1571,0.4182
46810.89871,-0.1463,-0.0216,-0.265,0.4231,0.2546,0.2918
46810.92886,-0.0016,-0.1166,-0.2144,0.5347,0.7059,0.1199
46810.95901,0.0619,0.2121,-0.3306,1.4598,0.2985,-0.1579
46810.98916,-0.1643,0.1561,-0.0037,0.7081,0.3221,-0.117
46811.01934,0.2103,0.4494,-0.0297,0.5285,0.0801,0.2757
46811.04949,-0.1471,0.1965,-0.0901,0.1568,-0.1253,0.1014
46811.07964,0.1294,0.2384,0.1185,0.3145,-0.5896,0.2747
46811.10979,0.3308,-0.1155,-0.0532,-0.4124,-0.7256,0.0353
46811.13994,0.2559,0.2278,0.0211,-0.2066,-0.8364,-0.1578
46811.17013,0.059,-0.1439,0.0447,-0.7279,-0.4751,-0.3162
46811.20028,0.2722,0.0065,0.2022,-0.702,-0.2087,-0.2511
46811.23043,-0.6253,-0.0987,0.3846,-1.2492,0.5786,-0.1967
46811.26058,-0.2532,-0.1784,0.2056,1.8609,0.6692,0.8583
46811.29073,0.5656,-0.1525,-0.5518,-0.9736,0.3918,0.075
46811.32091,0.2841,0.1181,-0.3417,-1.145,0.0517,-0.2219
46811.35106,-0.3218,0.0107,0.1281,-0.3083,0.4037,-0.4385
46811.38122,0.2771,0.1125,0.206,-0.0034,0.346,-0.4889
46811.41137,0.0411,0.0206,0.1039,-0.5238,0.2565,-0.2987
46811.44152,0.2939,0.195,-0.0174,-0.5486,0.1696,-0.0663
46811.4717,0.0772,0.1014,-0.1253,-0.512,-0.253,-0.31
46811.50185,-0.1226,0.007,0.0902,0.2786,-0.1979,0.1781
46811.532,0.1758,-0.2982,0.1933,-0.5669,-0.636,-0.0017
46811.56215,-0.0963,-0.0828,0.0668,-0.9434,-0.5249,0.1003
46811.59234,0.293,-0.075,0.0185,-0.7136,-0.2428,-0.0813
46811.62249,0.1191,-0.0309,-0.0398,-1.2321,-0.4917,-0.3609
46811.65264,-0.2682,-0.0404,-0.0574,-0.0239,0.2219,0.2215
46811.68279,0.6983,-0.2118,-0.0076,-0.7285,-0.4991,-0.4148
46811.71294,-0.5207,-0.1651,0.0531,0.0109,-0.2081,-0.202
46811.74312,0.0736,-0.1345,0.1092,0.08,0.2574,-0.0626
46811.77328,-0.2,0.016,-0.1092,0.3136,-0.1408,0.2267
46811.80343,0.2366,-0.2354,0.1064,0.2274,-0.0288,0.1504
46811.83358,0.0919,-0.1407,-0.1741,-0.4511,-0.1956,0.1825
46811.86373,-0.2981,0.2201,0.0513,-0.0508,0.7003,0.578
46811.89391,0.0327,-0.2659,0.2593,0.6667,0.5609,0.6409
46811.92406,0.2959,-0.0017,-0.1684,0.7793,0.4657,0.5783
46811.95421,0.1152,-0.2212,0.0432,0.4386,0.6421,0.3001
46811.98438,0.158,-0.0083,0.0228,0.3062,0.81,0.2092
46812.01453,-0.1082,0.0178,-0.0451,1.0231,0.6105,0.2984
46812.04472,-0.0701,-0.243,0.1448,0.5712,0.4686,0.1214
46812.07487,0.0942,-0.0226,-0.0538,0.5527,-0.0542,0.3795
