43186.27469,0.2258,-0.3163,0.1424,-1.0559,-0.5034,-1.1511
43186.30484,0.3227,-0.3275,0.1319,-1.0731,-0.5566,-1.0125
43186.33502,0.2756,-0.3794,0.1517,-1.0112,-0.5779,-0.8928
43186.36517,0.1621,-0.3972,0.1322,-0.7704,-0.4194,-0.8153
43186.39532,0.1024,-0.3629,0.104,-0.3189,-0.2217,-0.655
43186.42548,0.0234,-0.3288,0.0903,0.1042,-0.0377,-0.3482
43186.45566,-0.0181,-0.3103,0.0951,0.3757,0.1837,0.0645
43186.48581,-0.0542,-0.2832,0.0782,0.5491,0.3981,0.4738
43186.51596,-0.08,-0.2445,0.0523,0.6554,0.6336,0.8041
43186.54611,-0.0227,-0.2081,0.0026,0.7435,0.7993,1.0471
43186.57626,0.0569,-0.1735,-0.0504,0.8648,0.8352,1.1919
43186.60645,0.1445,-0.13,-0.0686,0.9618,0.7502,1.2075
43186.6366,0.1866,-0.1417,-0.0344,1.0002,0.613,1.0888
43186.66675,0.2077,-0.1381,-0.0177,0.7489,0.2733,0.794
43186.6969,0.1449,-0.1354,-0.0272,0.3519,-0.0137,0.3753
43186.72705,0.0579,-0.1608,-0.0412,-0.1722,-0.179,0.0536
43186.75723,-0.0109,-0.1212,-0.0561,-0.5989,-0.2775,-0.091
43186.78738,-0.0861,-0.0817,-0.0872,-0.5871,-0.235,-0.2201
43186.81754,-0.1135,-0.0491,-0.092,-0.1347,-0.1533,-0.3056
43186.84769,-0.149,-0.0377,-0.0616,0.5111,-0.1054,-0.4231
43186.87787,-0.1997,-0.0576,-0.0197,1.0466,-0.0143,-0.5405
43186.90802,-0.1887,-0.0866,0.0062,1.2889,0.0374,-0.6168
43186.93817,-0.1506,-0.1086,0.0215,1.3108,0.0228,-0.6928
43186.96832,-0.0718,-0.1176,0.0223,1.3103,0.0107,-0.7956
43186.99847,0.117,-0.1058,0.0398,1.3195,-0.0881,-0.8797
43187.02866,0.3692,-0.1367,0.1268,0.9682,-0.2349,-0.878
43187.05882,0.4999,-0.1002,0.1765,0.6114,-0.6637,-0.5459
43187.08897,0.391,-0.0598,0.1835,0.8013,-0.709,-0.6123
43187.11912,0.3433,-0.1121,0.2689,0.61,-0.8286,-0.6498
43187.14927,0.2743,-0.1163,0.3117,0.6777,-0.8213,-0.8272
43187.17945,0.205,-0.1581,0.3561,0.6109,-0.7056,-0.8392
43187.2096,0.1408,-0.1861,0.3914,0.2189,-0.4649,-0.7748
43187.23975,0.0805,-0.1632,0.3759,0.0333,-0.1939,-0.587
43187.26991,0.009,-0.1325,0.3222,0.1837,0.0208,-0.3744
43187.30009,-0.0263,-0.1281,0.297,0.4531,0.2289,-0.2196
43187.33024,0.0186,-0.1339,0.3213,0.7473,0.3793,-0.0769
43187.36039,0.111,-0.1342,0.3375,0.8224,0.3758,0.0793
