44961.52068,0.1142,0.1109,-0.7608,-0.2438,-0.0228,0.3819
44961.55087,0.1237,-0.2613,-0.233,-0.1742,-0.1355,0.578
44961.58102,0.0459,-0.096,0.0304,-0.7507,-0.1401,0.5665
44961.61117,-0.1522,-0.2193,0.2315,-0.6663,-0.2845,0.5409
44961.64132,-0.0242,-0.0301,-0.1696,-0.5174,-0.287,0.4812
44961.67147,0.0754,-0.0704,-0.0953,-0.4672,-0.2139,0.5438
44961.70165,0.1336,-0.2498,0.3695,-0.9544,-0.373,0.3966
44961.7318,0.0975,-0.1658,0.0085,-1.0929,-0.2169,0.1398
44961.76196,-0.2323,-0.1457,-0.0853,-1.0585,-0.2792,-0.1687
44961.79211,-0.0941,0.1523,-0.3709,-0.7178,-0.1828,0.04
44961.82226,-0.1389,0.4529,-0.1667,-1.3151,-0.5694,-0.0236
44961.85241,0.0547,-0.1566,-0.2942,-0.1389,-0.1624,0.4259
44961.88259,0.1449,0.1879,0.1848,-0.532,-0.4672,0.2766
44961.91274,-0.0386,-0.0046,-0.0345,-0.6678,-0.471,0.1341
44961.94289,0.1324,-0.1125,0.0518,-1.3288,-0.4383,-0.1349
44961.97305,-0.003,0.0837,-0.2671,-1.0367,-0.4884,-0.197
44962.0032,-0.0945,-0.1071,0.2429,-0.5477,-0.4611,0.3408
44962.03335,-0.1764,0.238,-0.2685,-0.2701,-0.2796,0.4762
44962.06353,-0.0147,0.182,-0.1524,0.0443,-0.151,0.3492
44962.09368,-0.0632,0.1104,-0.2438,0.3051,0.0409,0.2109
44962.12383,-0.0004,0.0709,-0.0314,0.4484,0.0389,0.0838
44962.15398,-0.0956,-0.0987,-0.1748,0.2018,0.0094,-0.304
44962.18413,0.0283,-0.0309,0.1155,0.0194,-0.1459,-0.4294
44962.21432,0.0539,0.0262,0.0525,-0.4716,-0.2117,-0.4658
44962.24447,-0.075,-0.1489,0.006,-1.2448,-0.3354,-0.2613
44962.27462,0.1512,0.1965,-0.4047,-1.5741,-0.3753,-0.1241
44962.30477,-0.0396,0.3277,-0.4819,-0.2727,-0.1385,0.1286
44962.33492,-0.0427,-0.1477,0.0097,-0.0855,-0.1486,0.0721
44962.36507,0.2359,-0.1558,0.177,-0.4929,-0.3211,-0.0495
44962.39526,0.1967,-0.2008,-0.0771,-0.8112,-0.423,-0.2422
44962.42541,0.1056,0.0103,-0.7998,-0.8508,-0.3589,0.1176
44962.45556,-0.0769,0.0377,-0.5256,-0.4083,-0.2872,0.2695
44962.48571,-0.0901,0.1074,-0.3352,-0.0109,-0.2333,0.7208
44962.51586,0.1243,0.2087,-0.3485,0.16,-0.3972,0.8438
44962.54601,0.2212,-0.082,-0.043,-0.2815,-0.4862,0.3955
44962.57619,-0.0688,0.0118,0.2981,-0.2076,-0.2727,0.0164
44962.60635,-0.3609,0.095,0.269,0.13,-0.1963,0.3479
44962.6365,0.1729,0.0938,0.2145,-0.0535,-0.2399,0.4479
44962.66665,-0.1554,0.1427,0.3056,-0.383,-0.1994,-0.1169
44962.6968,-0.1265,0.0542,-0.2221,-0.2725,-0.0196,0.0728
44962.72695,0.2046,0.1715,-0.2873,0.0746,0.0658,-0.0031
44962.75713,-0.038,0.041,0.1315,0.2283,-0.0169,-0.5501
44962.78728,-0.1438,-0.1346,0.2137,0.6988,0.216,-0.2419
44962.81744,-0.0756,0.1433,0.1226,0.1715,0.0356,-0.5316
44962.84759,-0.1153,0.0781,-0.0297,0.4011,-0.0335,-0.412
44962.87774,0.1434,0.1531,0.0296,0.1413,-0.3962,-0.2985
44962.90792,0.1167,-0.0941,-0.0145,-0.321,-0.3983,-0.2831
44962.93807,-0.3038,0.1542,-0.045,0.0533,-0.0931,-0.3541
44962.96822,0.113,-0.0274,0.2917,0.6891,0.1123,-0.2191
44962.99838,0.0641,-0.037,0.5461,0.0245,0.0714,-0.3379
44963.02854,0.0303,0.0466,0.2934,-0.6639,-0.1615,-0.4871
44963.05869,0.0274,0.1613,-0.0732,0.374,-0.0707,-0.0958
44963.08887,0.1796,-0.1906,0.0872,0.5969,-0.0415,0.1753
44963.11902,-0.0874,-0.1113,-0.0836,0.5512,0.0987,0.0095
44963.14917,0.1783,-0.3408,0.6392,0.2162,0.0926,-0.1279
44963.17932,0.0543,-0.0232,-0.1274,-0.0899,-0.0367,-0.3913
44963.20948,-0.1397,-0.0825,-0.4085,-0.2284,-0.0437,-0.0257
44963.23963,-0.0469,-0.0738,-0.3852,0.4369,-0.049,0.4735
44963.26981,0.2211,-0.2423,-0.0363,0.2608,-0.1909,0.5781
44963.29996,0.162,-0.3616,0.0229,0.0007,0.0493,0.2833
44963.33011,0.1286,-0.1096,0.0895,-0.8725,0.1404,0.0454
44963.36026,0.0393,-0.0563,-0.3305,-0.7079,0.017,0.0265
44963.39041,-0.1345,0.0702,0.1192,-0.2429,-0.0892,0.5707
44963.4206,0.2018,0.1194,-0.0252,-0.1143,-0.1265,0.6337
44963.45075,-0.2207,-0.022,-0.2057,-0.6698,-0.1229,0.1496
44963.4809,-0.3606,0.2647,-0.2401,-0.4949,-0.2238,0.2731
44963.51105,0.1967,0.1338,0.0241,-0.3685,-0.1699,0.2609
44963.5412,0.0438,0.0971,0.108,-0.1819,0.0982,-0.0449
44963.57135,0.0918,-0.1162,0.2667,-1.4023,-0.0918,-0.479
44963.60153,-0.1494,-0.0701,-0.4087,-0.9841,-0.0777,-0.3361
44963.63169,-0.1283,0.1819,-0.4991,0.0388,0.0618,0.1465
44963.66184,-0.1729,-0.0205,-0.0924,-0.0544,-0.0605,0.1262
44963.69199,0.0485,0.0508,-0.043,0.2312,-0.0599,0.164
44963.72214,0.1413,-0.0348,0.3506,-0.0904,-0.222,-0.1456
44963.75229,0.1108,-0.062,0.2826,-0.5267,-0.5363,-0.4277
44963.78247,-0.0502,0.0518,-0.2165,0.0169,-0.4617,0.0196
44963.81262,0.1167,-0.0994,0.1718,0.0797,-0.4431,0.2412
44963.84278,-0.0034,-0.2221,0.0339,0.2324,-0.3055,0.144
44963.87293,-0.0763,-0.0667,-0.2232,-0.1054,-0.3289,0.2226
44963.90308,0.0556,0.0501,-0.1142,0.6074,-0.1048,0.3835
44963.93323,0.0593,-0.115,0.4018,0.709,-0.0951,0.1377
44963.96341,-0.012,0.1536,0.2658,0.0267,-0.1477,0.1706
